	Unnamed: 0	MODEL_ID	SDK3.5: FC=250MHz CL=175MHz	14_10_2020
0	0	0	6.75633	7.808199
1	1	1	6.958425	7.842526
2	2	2	7.767089	7.850828
3	3	3	7.671721000000002	8.071139
4	4	4	7.4568660000000015	8.094604
5	5	5	7.5372	8.480254
6	6	6	7.676829	8.319245
7	7	7	7.449675	8.327546
8	8	8	7.125032000000001	7.819251
9	9	9	7.084658	7.902021
10	10	10	7.278494999999999	7.817309
11	11	11	6.427716	7.475144
12	12	12	6.063097	6.653258
13	13	13	5.876167	6.624698
14	14	14	5.601814	6.406481
15	15	15	5.282983	5.867877
16	16	16	4.527786	6.384147
17	17	17	5.913087	6.323487
18	18	18	5.981472	6.854522
19	19	19	5.727079	6.70313
20	20	20	5.791325	6.52322
21	21	21	5.313634	6.106
22	22	22	5.585749	6.597486
23	23	23	5.406378	6.551149
24	24	24	5.62603	6.391536
25	25	25	5.2004470000000005	6.088302
26	26	26	4.97893	5.574098
27	27	27	4.864435	5.563919
28	28	28	4.80691	5.455276
29	29	29	4.626174	5.170012
30	30	30	4.272549	4.767858
31	31	31	3.6027339999999994	4.363151
32	32	32	5.0160860000000005	6.094213
